web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
1586610955-15714,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=one_star&reviewerType=all_reviews,dhivya,Tis phone hangs very often,Reviewed in India on 2 December 2019,I like the battery capacity of this product but it hangs often ... Tats the only drawback,1.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_41?ie=UTF8&filterByStar=one_star&pageNumber=41&reviewerType=all_reviews
1586625561-31957,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star,Amazon Customer,Good phone but has its flaws,Reviewed in India on 19 June 2019,"This isn't totally a review. You'll find the appraisals elsewhere because honestly you know it's a great phone for the price. So I'll write about some of the technical issues I faced over time. Maybe it's not the same experience with everyone but my OnePlus finds it difficult to adjust the auto brightness mode by itself. It's so annoying at times.
Fingerprint sensor is okay but not as great as Samsung's.
Camera should have better software. Guys chant about pictures like DSLR's and having awesome blur effect but neither google can flawlessly blur background except for simple selfies or objects like a Rubik's cube or a flower taken in macro. These technologies are developing and I hope future OnePlus version will have proper camera algorithms.
And guys if you prefer wired earphones because they don't run out of battery or better value for money, then sorry but these phones don't come with 3.5 mm audiojack and they are not currently selling the type c to 3.5 mm converter even on official OnePlus store. It's been out of stock for months -_-
(Ps. Apparently, everyone can easily buy wireless
OP bullets earphones because they can afford buying OP phones 😒, so much for the flagship vibe)",3.0 out of 5 stars,,
1586611050-15983,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=one_star&reviewerType=all_reviews,Anupam,Bad display screen ...it's flickering all time.,Reviewed in India on 31 March 2020,Display screen is flickering and display going to lining up occasionally but this happening every time and also it is not fast as OnePlus 6. Scrolling and swapping in this phone not fast as OnePlus 6,1.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_68?ie=UTF8&filterByStar=one_star&pageNumber=68&reviewerType=all_reviews
1586623807-29238,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_show_all?ie=UTF8&reviewerType=all_reviews,Dheepak,Very good product,Reviewed in India on 8 October 2019,High quality camera,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_paging_btm_288?ie=UTF8&pageNumber=288&reviewerType=all_reviews
1586622409-26413,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_show_all?ie=UTF8&reviewerType=all_reviews,K K,Better to remove display film as soon you get mobile,Reviewed in India on 21 October 2019,Quality control seems bad now. After I brought the mobile I left the factory fitted protective film on the display until I get the tempered glass. Once I got one any removed film I found scratch on the display. Which was not visible because of film. It's around 20 days now and return window is closed so I am helpless now. OnePlus also not responding to messages on Twitter.😓,1.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews
1586615831-22972,https://www.amazon.in/product-reviews/B07HGLBZ5R/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,Manish Singh D,Amazing,Reviewed in India on 16 October 2019,After 2 months use i can say one Plus is definitely worth the money,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-604/product-reviews/B07HGLBZ5R/ref=cm_cr_arp_d_paging_btm_324?ie=UTF8&filterByStar=five_star&pageNumber=324&reviewerType=all_reviews
1586607685-8658,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews,Mukesh Ranjan,OnePlus 7t Review,Reviewed in India on 27 January 2020,Phone is fast and smooth but it get hang sometime. Not frequently you will lag.,4.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_92?ie=UTF8&filterByStar=four_star&pageNumber=92&reviewerType=all_reviews
1586616293-24727,https://www.amazon.in/product-reviews/B07HGLBZ5R/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,Suresh chary,Excellent,Reviewed in India on 23 June 2019,Well done by OnePlus and the mobile is excellent,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-604/product-reviews/B07HGLBZ5R/ref=cm_cr_arp_d_paging_btm_500?ie=UTF8&filterByStar=five_star&pageNumber=500&reviewerType=all_reviews
1586624288-31125,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_show_all?ie=UTF8&reviewerType=all_reviews,sanjeev Raghuvanshi,Fast ND lovable,Reviewed in India on 29 July 2019,Speed ND feature is unique beating anything else,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_paging_btm_416?ie=UTF8&pageNumber=416&reviewerType=all_reviews
1586596169-2966,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Aamitzade@gmail,Super se upper.wow product,Reviewed in India on 2 June 2019,"Wow product from 1+, what a build quality specially display, a buttery liquid feeling display, which 12gb ram adds extra power to 855 processed, applications and games are flying with the speed.",5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_paging_btm_186?ie=UTF8&pageNumber=186&reviewerType=all_reviews
1586614332-19416,https://www.amazon.in/product-reviews/B07HGLBZ5R/ref=?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews,Kugahto,Ok,Reviewed in India on 7 March 2020,Ok,4.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-604/product-reviews/B07HGLBZ5R/ref=cm_cr_arp_d_paging_btm_156?ie=UTF8&filterByStar=four_star&pageNumber=156&reviewerType=all_reviews
1586609499-13712,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,Amazon Customer,Vibration,Reviewed in India on 7 March 2020,Vibration is too less even when kept at maximum,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_395?ie=UTF8&filterByStar=five_star&pageNumber=395&reviewerType=all_reviews
1586623663-29016,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_show_all?ie=UTF8&reviewerType=all_reviews,Neeraj Kumar Sondhiya,Nice,Reviewed in India on 5 October 2019,Good phone,4.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_paging_btm_265?ie=UTF8&pageNumber=265&reviewerType=all_reviews
1586609396-13411,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,Akhlaque,oneplus my  favorite mobile,Reviewed in India on 26 October 2019,The world is number one mobile,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_365?ie=UTF8&filterByStar=five_star&pageNumber=365&reviewerType=all_reviews
1586610848-15325,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=one_star&reviewerType=all_reviews,Sarathy,In my Phone Software update is not good,Reviewed in India on 9 October 2019,"I got the phone on Monday, from that day onward Mobile is showing downloading downloading... whereas it was not opening the Play store or i can't update any app onto the phone. Internet connectivity shows very slow. When i checked with my old phone it was downloading the app with in few second, whereas this phone show downloading more than 1hr.  I am not happy the way mobile is functioning. I think there is an software issue into this phone.  Second when i use this phone my eyes are getting more strain

Good things is the desing, Batter, Finger scanning. But software is creating the issue to use.",1.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=one_star&pageNumber=2&reviewerType=all_reviews
1586625626-32226,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star,vikram singh,Excellent,Reviewed in India on 9 June 2019,"Screen is top notch
Speaker sound word class
Response time too quick to handle 855SD is so smooth.

I love it.",3.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=cm_cr_arp_d_paging_btm_28?ie=UTF8&filterByStar=three_star&pageNumber=28&reviewerType=all_reviews
1586605620-7360,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical,Atish,Ok ok,Reviewed in India on 2 March 2020,Over all ok phone,3.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_paging_btm_125?ie=UTF8&filterByStar=critical&pageNumber=125&reviewerType=all_reviews
1586605595-7254,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical,Ashish,Hanging issue,Reviewed in India on 22 February 2020,New Phone is hanging very much .,1.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_paging_btm_115?ie=UTF8&filterByStar=critical&pageNumber=115&reviewerType=all_reviews
1586596564-4503,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Mohammed Rizwan,Great product at good price,Reviewed in India on 28 January 2020,"90% marks for battery life
80% marks for camera
60% marks for fingerprint reader..( not working smoothly)",4.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_paging_btm_340?ie=UTF8&pageNumber=340&reviewerType=all_reviews
1586596677-4890,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,shubham jaiswal,Bad choice,Reviewed in India on 3 September 2019,Battery is not up to the mark as expected from price range also the camera quality is rediculus as was the price range,2.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_paging_btm_378?ie=UTF8&pageNumber=378&reviewerType=all_reviews
1586609073-12149,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,Sameer,Great value for money,Reviewed in India on 17 November 2019,Great value for money. Great camera,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_239?ie=UTF8&filterByStar=five_star&pageNumber=239&reviewerType=all_reviews
1586616134-24091,https://www.amazon.in/product-reviews/B07HGLBZ5R/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,Amazon Customer,Proud to be a one plus buyer,Reviewed in India on 29 June 2019,Excellent quality and value for money.,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-604/product-reviews/B07HGLBZ5R/ref=cm_cr_arp_d_paging_btm_436?ie=UTF8&filterByStar=five_star&pageNumber=436&reviewerType=all_reviews
1586609281-12977,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,Mohd Umar,Excellent phone,Reviewed in India on 23 October 2019,One plus has delivered it again. Another excellent one plus flagship phone.,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_322?ie=UTF8&filterByStar=five_star&pageNumber=322&reviewerType=all_reviews
1586611401-16168,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=two_star&reviewerType=all_reviews,Mahesh Gupta,Didn't except this with oneplus,Reviewed in India on 28 October 2019,My phone keeps restarting..unable to resolve the issue.,2.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&filterByStar=two_star&pageNumber=19&reviewerType=all_reviews
1586623979-29904,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_show_all?ie=UTF8&reviewerType=all_reviews,ashok.a,Good,Reviewed in India on 6 October 2019,Good,4.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_paging_btm_354?ie=UTF8&pageNumber=354&reviewerType=all_reviews
1586624109-30239,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_show_all?ie=UTF8&reviewerType=all_reviews,Roy Gautam,I love Amazon,Reviewed in India on 19 August 2019,not bad,3.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_paging_btm_370?ie=UTF8&pageNumber=370&reviewerType=all_reviews
1586625596-32112,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star,Phaneendra kumars Wishlist,Not satisfied for 33 k,Reviewed in India on 13 August 2019,"It has lots of drawbacks
- 128 GB is not enough for taking 4k videos
- there is a no earphone jack
- there is a no zoom option for 48MP camera
n etc..",3.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=three_star&pageNumber=16&reviewerType=all_reviews
1586625410-31875,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=?ie=UTF8&reviewerType=all_reviews&filterByStar=two_star,Amazon Customer,Below average,Reviewed in India on 16 July 2019,Not to the expected level camera is very poor,2.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&filterByStar=two_star&pageNumber=26&reviewerType=all_reviews
1586610880-15397,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=one_star&reviewerType=all_reviews,PUNIT,Got Duped,Reviewed in India on 26 October 2019,The phone that i received is faulty and i about it as a gift so couldn't give it the same day and by the time we realised it Amazon return policy has expired band wevwalked into one plus store and they are now saying that we will have to pay 6000 for the replacement as they are considering it as a second hand..very disappointed with the whole episode..,1.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=one_star&pageNumber=10&reviewerType=all_reviews
1586624230-30831,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_show_all?ie=UTF8&reviewerType=all_reviews,Amit Kumar Bedi,Great phone....,Reviewed in India on 18 August 2019,"Friends, I am big fan of oneplus... I used oneplus X then bought oneplus 3 and then oneplus 6t an dnow oneplus 7 and year by year oneplus is improving and they are growing and prove their tag line 'never settle'.... I am using this phone since last 2 weeks and have no complaints.... Though I feel that camera can still be better but it does well. It's not a camera centric phone either but at this price it's somehow expected to have superb camera .... Some camera samples I am loading here. Battery life is normal, lasts full day... Dash charger charges fast but takes around 1 hr to charge fully .... Zero lag in day to day use... I don't play any games though.. Use cast feature a lot, listen music, use Bluetooth (Tantra wireless) a lot in car as well as with bluetooth earphones (Tagg inferno 2.0 wireless earphones) and ai even use my wired earphones sometimes via Type-c to 3.5mm adapter (bought separately, by Sceva brand) .. I mentioned these products here as I wanted to clear that phone is compatible with accessories of other brands as well and has no issues at all.... I bought blue colour and it's stunning and eye catching... Just loved it.... The mirror finish is damn good.... Oneplus did a great job in releasing blue variant.... The protective Case included in the box is superb... I accidently slipped the phone from my hand and it fell down on brick surface but thank God the cover saved the screen as well as body of the phone from any kind of scratch ... The screen suffered no scratch whatsoever even after falling down so badly with face down... Though I got 1 year complimentary screen replacement with phone for whole one year.... But the Case provided is a saver 😊👍.... And best part is its transparent and the blue colour looks good through it.... How can I forget that the phone as usual comes with pre applied high quality screen guard..... Go ahead with it friends.. Best in this price segment..... Screen is great, touch is awesome, fingerprint is good as usual.... And now the best part... The stereo sound.. Believe me it's superb.... I have watched movies and even played music over the speakers and it sounds great... 2nd Best change made by one plus, 1st is blue colour ..... 😀👍

This is not a paid review friends so pls give it a thumbs up if I helped you in deciding for this product.... 😊 👍",5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_paging_btm_401?ie=UTF8&pageNumber=401&reviewerType=all_reviews
1586605615-7340,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical,DILIP KUMAR YADAV,Not as per expectations.,Reviewed in India on 5 March 2020,Not value for money.,3.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_paging_btm_123?ie=UTF8&filterByStar=critical&pageNumber=123&reviewerType=all_reviews
1586624218-30744,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=?ie=UTF8&reviewerType=all_reviews&filterByStar=one_star,Gaurav Agarwal,Didn't like it at all!,Reviewed in India on 27 September 2019,Didn't like it at all!,1.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=cm_cr_arp_d_paging_btm_42?ie=UTF8&filterByStar=one_star&pageNumber=42&reviewerType=all_reviews
1586616205-24403,https://www.amazon.in/product-reviews/B07HGLBZ5R/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,Aashish Punjabi,The best android phone you can get in the market.,Reviewed in India on 9 July 2019,Go for it! Don't think about it.,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-604/product-reviews/B07HGLBZ5R/ref=cm_cr_arp_d_paging_btm_467?ie=UTF8&filterByStar=five_star&pageNumber=467&reviewerType=all_reviews
1586605582-7205,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical,Amazon Customer,Battery issues,Reviewed in India on 14 July 2019,Battery backup no so good,3.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_paging_btm_110?ie=UTF8&filterByStar=critical&pageNumber=110&reviewerType=all_reviews
1586624259-30948,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_show_all?ie=UTF8&reviewerType=all_reviews,Megha,"Wonderful phone, awesome value for money",Reviewed in India on 26 October 2019,"That's s a fantastic choice I made. The phone is bang on point in every aspect. Loved the camera and the display. Software (with timely updations) and battery was never a doubt.
One of those few brands that keep on building trust.",5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_paging_btm_407?ie=UTF8&pageNumber=407&reviewerType=all_reviews
1586608625-10430,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,PARAG,The best phone for its price,Reviewed in India on 16 January 2020,"The fingerprint reader is the fastest around. Camera is great but scope for improvement. Battery life is respectable.
Overall, beast of a performer, as fast as any other high-end phone.",5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&filterByStar=five_star&pageNumber=67&reviewerType=all_reviews
1586622924-28087,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_show_all?ie=UTF8&reviewerType=all_reviews,Gautam,It's good but not better,Reviewed in India on 5 November 2019,"It's battery backup issue
Some time hang without installing new apps.",3.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_paging_btm_173?ie=UTF8&pageNumber=173&reviewerType=all_reviews
1586616260-24595,https://www.amazon.in/product-reviews/B07HGLBZ5R/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,Shaun,Great!!!,Reviewed in India on 12 June 2019,Amazing phone,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-604/product-reviews/B07HGLBZ5R/ref=cm_cr_arp_d_paging_btm_487?ie=UTF8&filterByStar=five_star&pageNumber=487&reviewerType=all_reviews
1586616044-23703,https://www.amazon.in/product-reviews/B07HGLBZ5R/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,Irfan,My Oneplus,Reviewed in India on 4 November 2019,Works perfectly.,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-604/product-reviews/B07HGLBZ5R/ref=cm_cr_arp_d_paging_btm_397?ie=UTF8&filterByStar=five_star&pageNumber=397&reviewerType=all_reviews
